Denominacao - GBS,,n_bag,,nome,TA (teor de amilose) Goiania 2004,TA Goiania 2005,TA Uruguaiana,TA Boa Vista,TA Pelotas 2005,TA Vilhena
175,TERRAS ALTAS,CNA6701,BGA 6701,CNAX 1762-A-41-2-1,26,24,22,23,22,26
177,TERRAS ALTAS,CNA6940,BGA 6940,LEMONT,24,25,24,25,24,26
178,TERRAS ALTAS,CNA6941,BGA 6941,NEW BONNET,30,27,24,25,25,26
182,TERRAS ALTAS,CNA7024,BGA 7024,CNAX 1503-12-9-4-B,27,26,24,23,24,27
184,TERRAS ALTAS,CNA7119,BGA 7119,CNARR 2888-B-47,26,23,22,23,17,27
639,TERRAS ALTAS,CNA7425,BGA 7425,CANASTRA,20,22,,20,21,19
187,TERRAS ALTAS,CNA7706,BGA 7706,CNARR 2888-B-12-1-1,26,21,23,23,24,26
188,TERRAS ALTAS,CNA7799,BGA 7799,IAC 1191,24,24,22,24,25,25
190,TERRAS ALTAS,CNA7937,BGA 7937,CIAT 20,23,19,20,18,22,21
191,TERRAS ALTAS,CNA8070,BGA 8070,CNAX 3608-6-1-2-1,26,24,22,25,22,27
192,TERRAS ALTAS,CNA8092,BGA 8092,L 141,19,20,18,20,22,23
193,TERRAS ALTAS,CNA8093,BGA 8093,L 285,25,27,25,25,27,27
194,TERRAS ALTAS,CNA8172,BGA 8172,CT 11614-1-4-1-M,26,25,22,24,26,27
196,TERRAS ALTAS,CNA8305,BGA 8305,CT 11251-7-2-M-M,27,23,23,24,25,24
197,TERRAS ALTAS,CNA8309,BGA 8309,L 92-342,26,24,24,20,23,26
199,TERRAS ALTAS,CNA8411,BGA 8411,BLUEBELLE,27,25,23,23,,
201,TERRAS ALTAS,CNA8412,BGA 8412,BLUEBONNET 50,22,22,22,23,24,
204,TERRAS ALTAS,CNA8432,BGA 8432,LACASSINE,23,26,21,22,24,24
205,TERRAS ALTAS,CNA8533,BGA 8533,MARAVILHA,22,19,18,18,19,19
206,TERRAS ALTAS,CNA8540,BGA 8540,CT 11251-7-2-M-M-BR1,27,23,23,24,26,26
207,TERRAS ALTAS,CNA8545,BGA 8545,CT 11216-10-12-B-BRM-10,28,23,24,26,24,25
209,TERRAS ALTAS,CNA8711,BGA 8711,CNAX 4914-36-M-M-3,25,22,23,23,24,25
210,TERRAS ALTAS,CNA9102,BGA 9102,CT10006-7-2-M-5-1P-3,19,19,17,18,16,21
211,TERRAS ALTAS,CNA9113,BGA 9113,CT10037-9-4-M-1-1P-2-M,20,19,17,16,21,27
212,TERRAS ALTAS,CNA9115,BGA 9115,CT11632-3-3-M,21,21,21,22,24,23
213,TERRAS ALTAS,CNA9123,BGA 9123,CT11891-3-3-3-M,26,23,22,24,22,27
214,TERRAS ALTAS,CNA9124,BGA 9124,CT13364-7-1,20,15,16,17,19,19
216,TERRAS ALTAS,CNA9139,BGA 9139,CT13366-15-4,29,24,24,24,24,25
217,TERRAS ALTAS,CNA9154,BGA 9154,CT13370-2-M,23,21,20,20,24,24
219,TERRAS ALTAS,CNA9197,BGA 9197,CT13377-8-4,28,27,22,26,24,25
220,TERRAS ALTAS,CNA9199,BGA 9199,CT13381-1-3,20,17,16,16,17,19
222,TERRAS ALTAS,CNA9223,BGA 9223,CT13569-5-7,28,25,22,25,26,26
224,TERRAS ALTAS,CNA9227,BGA 9227,CT13570-3-2,29,26,24,26,26,28
225,TERRAS ALTAS,CNA9240,BGA 9240,CT13572-6-2,25,23,22,23,23,25
226,TERRAS ALTAS,CNA9280,BGA 9280,CT13573-11-2,26,22,22,27,25,26
227,TERRAS ALTAS,CNA9319,BGA 9319,CT13579-3-4,26,24,22,23,24,25
229,TERRAS ALTAS,CNA9364,BGA 9364,CT13581-5-2,25,24,22,23,22,25
230,TERRAS ALTAS,CNA9415,BGA 9415,CT13582-11-4,25,22,22,23,24,24
232,TERRAS ALTAS,CNA9561,BGA 9561,CT13584-12-9,26,25,21,25,25,24
234,TERRAS ALTAS,CNA9591,BGA 9591,CT13585-12-3,26,25,21,23,25,26
18,TERRAS ALTAS,CNA963,BGA 963,AMAREL�O X GUEDES,23,25,21,25,24,25
19,TERRAS ALTAS,CNA969,BGA 969,HONDURAS X MAT�O,24,25,22,23,25,24
20,TERRAS ALTAS,CNA976,BGA 976,SATURNO X PRAT�O PRECOCE,23,25,24,25,25,26
21,TERRAS ALTAS,CNA994,BGA 994,ESAV X MAT�O,25,25,22,25,24,23
164,TERRAS ALTAS,IAPAR9,BGA 6217,L 50,26,25,23,22,25,25
